desde;ate;campanha;titulo_do_anuncio_patrocinado;codigo_do_anuncio;status;impressoes;cliques;cpc__(custo_por_clique);ctr_(click_through_rate);cvr_(conversion_rate);receita_(moeda_local);investimento_(moeda_local);acos__(investimento_/_receitas);roas_(receitas_/_investimento);vendas_diretas;vendas_indiretas;vendas_por_publicidade_(diretas_+_indiretas);receita_por_vendas_diretas_(moeda_local);receita_por_vendas_indiretas
29-jun-2025;13-jul-2025;Ads Ceras hidrossolúvel;Cera Depilatória Hidrossolúvel Mel Belbras Natural 1,3 Kg;MLB5456516144;Ativo;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads Ceras hidrossolúvel;Cera Depilatória Hidrossolúvel Mel Belbras Natural 2,7 Kg;MLB5456450346;Ativo;4;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads Ceras hidrossolúvel;Cera Depilatória Hidrossolúvel Mel Belbras Natural 300g;MLB5454844246;Ativo;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads Ceras hidrossolúvel;Cera Depilatória Hidrossolúvel Mel Belbras Natural 600g;MLB5456374138;Ativo;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads Ceras hidrossolúvel;Cera Depilatória Hidrossolúvel Negra Belbras Natural 300g;MLB5454818714;Ativo;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads Ceras hidrossolúvel;Cera Depilatória Hidrossolúvel Negra Belbras Natural 600g;MLB5446965224;Ativo;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads Ceras hidrossolúvel;Cera Hidrossolúvel Natural Vegana Camomila Belbras - 1,3kg;MLB4100187373;Ativo;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads Ceras hidrossolúvel;Cera Hidrossolúvel Natural Vegana Camomila Belbras - 2,7kg;MLB4100187851;Pausado;3;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads Ceras hidrossolúvel;Cera Hidrossolúvel Natural Vegana Camomila Belbras - 300g;MLB4100199233;Ativo;1;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Balde aroeira 5kg;Mel Aroeira Em Balde 5kg;MLB5233796440;Ativo;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;balde eucalipto 5kg;Mel Eucalipto Em Balde 5kg;MLB5386036532;Ativo;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;balde eucalipto 5kg;Mel Eucalipto Em Balde 5kg;MLB3947902587;;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Crescimento kit 3 flores;Kit De Mel Três Floradas, Mel Silvestre, Aroeira, Laranjeira - 840g;MLB5245394736;Desativada;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Hidrossolúvel negra 2,7kg;Cera Depilatória Belbras Negra Natural Hidrossolúvel 2,7kg;MLB5274859860;Movido;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Mel flores laranjeira 280g;Mel Puro Premium Flor De Laranjeira Squeeze 280g - Melbras;MLB5245420632;Ativo;26933;20;0,93;0,07;10;40;18,53;46,33;215,87;2;0;2;40;0
29-jun-2025;13-jul-2025;Orgânico aroeira 280;Mel Orgânico Melbras Aroeira 280gr - Mel Do Brasil;MLB5246291890;Ativo;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Rent Nosso mel 220;Mel De Abelha 100% Puro 220gr Florada Silvestre - Melbras;MLB5166209232;Ativo;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;sache mel e própolis;Composto De Mel E Extrato De Própolis 64g | Contém 16 Sachês;MLB3947876061;Desativada;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;sache mel e própolis;Melbras Mel Puro Silvestre Em Sachê 64g Contém 16 Unidades;MLB3947942297;Desativada;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Silvestre Supramel- Balde 5 Kg;Kit De Mel Três Floradas, Mel Silvestre, Aroeira, Laranjeira - 840g;MLB5245394736;Movido;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Silvestre Supramel- Balde 5 Kg;Mel 100% Puro Abelhas Silvestre Supramel - Balde 5 Kg;MLB3875806749;Ativo;38208;154;2,35;0,4;6,49;1278,310059;362,54;28,36;352,6;6;4;10;976,7999878;301,5100098
29-jun-2025;13-jul-2025;Silvestre Supramel- Balde 5 Kg;Mel Aroeira Em Balde 5kg;MLB3875846755;;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Silvestre Supramel- Balde 5 Kg;Mel Melbras Aroeira 280gr - Melbras - Mel Do Brasil;MLB5107726640;Movido;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Silvestre Supramel- Balde 5 Kg;Mel Melbras Aroeira 280gr - Melbras - Mel Do Brasil;MLB5122754916;Movido;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Silvestre Supramel- Balde 5 Kg;Mel Orgânico Silvestre Melbras 280g;MLB3937071855;Movido;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Silvestre Supramel- Balde 5 Kg;Mel Puro Abelha Premium Aroeira 280g;MLB5114903444;;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Silvestre Supramel- Balde 5 Kg;Mel Puro De Abelha Silvestre Em Balde 5kg;MLB3875844529;;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Silvestre Supramel- Balde 5 Kg;Mel Puro Premium Silvestre Squeeze 280g - Melbras;MLB3879722283;Movido;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Silvestre Supramel- Balde 5 Kg;Mel Silvestre Premium Puro De Abelha 280g - Melbras;MLB3875887305;;0;0;-;-;-;0;0;-;-;0;0;0;0;0
